topology,p_replicas,d_replicas,rr,il,ol,completed,duration_s,request_throughput,output_throughput_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2e_latency_ms,p99_e2e_latency_ms
2P1D,2,1,8,8192,4096,200,1272.6894003232985,0.15714753336453846,640.4587009155106,496183.17769027455,1088108.6839724553,61.99185339625798,68.23891520178115,750039.8173479509,1249930.686619446
2P1D,2,1,8,16384,1024,200,735.9147218595058,0.271770619691696,276.9030078445737,327121.3663442145,671714.983750569,85.68775330799028,117.95777821016321,414779.93797828845,712357.320761379
2P1D,2,1,8,16384,4096,200,2318.9196316161124,0.08624705973989062,351.50204814641774,1021009.4882519083,2101686.262917829,67.21428130427152,75.475071688946,1296251.9701929,2295757.310587645
2P1D,2,1,64,1024,1024,200,93.05514029022429,2.1492633225443707,2189.852160390621,27877.77573243999,75927.96037912206,24.266687493039978,25.759432898805812,52702.59703781988,89133.77548380647
2P1D,2,1,64,1024,4096,200,492.2275557643571,0.4063161390658623,1655.9515826663985,155886.68704519112,431350.11174849764,34.26371680287432,35.391878281876174,296196.6073529615,488306.19095793925
2P1D,2,1,64,4096,1024,200,192.97933296682868,1.0363804088512323,1055.9524528723878,67246.26783916046,173390.95400128112,49.711439856474136,57.059867179247696,118101.07081233349,189057.96816041088
2P1D,2,1,64,4096,4096,200,800.5302874245311,0.24983439495267656,1018.2063224895071,267311.5750141327,728463.7055833034,56.30701137837544,59.41489131473025,497888.78660858015,796608.9226181135
2P1D,2,1,64,8192,1024,200,332.22814169753866,0.6019959627083021,613.3646564640484,131118.64392996073,292127.94688184105,75.01084500237067,93.87048906046266,207854.73836738596,328508.3024845571
2P1D,2,1,64,8192,4096,200,1272.6894003232985,0.15714753336453846,640.4587009155106,506595.6311439968,1109116.4128254738,61.99185339625798,68.23891520178115,760452.2708016733,1268969.5611103168
2P1D,2,1,64,16384,1024,200,735.9147218595058,0.271770619691696,276.9030078445737,337533.81979793677,692722.7126035878,85.68775330799028,117.95777821016321,425192.3914320107,732095.04672224
2P1D,2,1,64,16384,4096,200,2318.9196316161124,0.08624705973989062,351.50204814641774,1031421.9417056304,2122693.991770847,67.21428130427152,75.475071688946,1306664.4236466226,2315149.341487554
1P4D,1,4,1,1024,1024,200,205.34328369343274,0.9739787754567615,997.3542660677238,63.692622929563015,114.59376050948757,12.716621204134242,13.461950342646125,13072.796114758889,13831.174404512143
1P4D,1,4,1,1024,4096,200,272.81781817468897,0.73308994748993,2987.726408243897,5869.099654935271,22470.752777418187,17.04649727510277,17.899427665572663,75674.50599648112,89534.74425013526
1P4D,1,4,1,4096,1024,200,207.32847218250237,0.9646528423937286,982.8703113223341,249.1500963040226,679.4098358659,16.228523043340303,19.01353658392735,16850.92916964115,19663.74601002631
